family	key	stem	archive	url	sha256	archive_bytes	raw_bytes	idx_bytes	work_bytes	index
mmseqs	uniref30_2302	-	uniref30_2302.tar.gz	https://opendata.mmseqs.org/colabfold/uniref30_2302.tar.gz	-	-	166874849280	225611296768	-	yes
mmseqs	uniref100_2026_01	uniref100_2026_01	uniref100_2026_01.tar.zst	https://huggingface.co/datasets/cssbsnu/Thal-Kak_local_db/resolve/main/mmseqs/uniref100_2026_01.tar.zst	4870b0e13856dcc3f024ff15c6b9b4a34ea6a2072b12a7bd30c1e0f78e35a601	139944227176	227023054595	298312482816	-	yes
mmseqs	bfd_reduced	bfd_reduced	bfd_reduced.tar.zst	https://huggingface.co/datasets/cssbsnu/Thal-Kak_local_db/resolve/main/mmseqs/bfd_reduced.tar.zst	1710e951f0d8e18622c0daa82065c0e571e17f4c0a56594be06fd8ddd4688694	19925874048	29640006191	123147517952	-	yes
mmseqs	mgnify_clusters	mgnify_clusters	mgnify_clusters.tar.zst	https://huggingface.co/datasets/cssbsnu/Thal-Kak_local_db/resolve/main/mmseqs/mgnify_clusters.tar.zst	0b366a52685a5359daecca933d8d072e43db01da2fb4bf73ce4b9b394ee8d485	136307852973	217164006200	505562234880	-	yes
mmseqs	logan_human	logan_human	logan_human.tar.zst	https://huggingface.co/datasets/cssbsnu/Thal-Kak_local_db/resolve/main/mmseqs/logan_human.tar.zst	342935bcace264cc26cd554781a33e0c820ce16a5486eb81d05ce5b91963c9cc	12890426293	30183351644	79351185408	-	yes
mmseqs	envhog_std	envhog_std	envhog_std.tar.zst	https://huggingface.co/datasets/cssbsnu/Thal-Kak_local_db/resolve/main/mmseqs/envhog_std.tar.zst	7cc390b189b72ed46af69952355466759e6db4f7abd3ac83d9b83f2b7c8243a5	22259122576	39418381568	57585266688	-	yes
template	BioMolDB_20260224	-	BioMolDB_20260224.tar.zst	https://huggingface.co/datasets/cssbsnu/Thal-Kak_local_db/resolve/main/template/BioMolDB_20260224.tar.zst	15a2efae5962ede25872eb29bcbf28165b373b100d57dfa86e3aab26e72ba8fd	86405760859	87213149251	-	-	no
hhblits	uniref100_2026_01	uniref100_2026_01	uniref100.tar.zst	https://huggingface.co/datasets/cssbsnu/Thal-Kak_local_db/resolve/main/hhblits/uniref100.tar.zst	583b3fa79958e68699dac17c26a1dd61dbee3a88d10295bbad0f29e93472c41d	168739113732	1397487259862	-	-	no
hhblits	uniref30_2302	UniRef30_2023_02	uniref30_2023_02.tar.zst	https://huggingface.co/datasets/cssbsnu/Thal-Kak_local_db/resolve/main/hhblits/uniref30_2023_02.tar.zst	e6d0e30fb4699e2137696505945feb57163e991efa868bae1e85acd7a9610358	58840144795	280479567728	-	-	no
hhblits	bfd	bfd_metaclust_clu_complete_id30_c90_final_seq.sorted_opt	bfd_metaclust_clu_complete_id30_c90_final_seq.sorted_opt.tar.gz	https://storage.googleapis.com/alphafold-databases/casp14_versions/bfd_metaclust_clu_complete_id30_c90_final_seq.sorted_opt.tar.gz	md5:6a634dc6eb105c2e9b4cba7bbae93412	291649557441	1903057215664	-	-	no
hhblits	mgnify_clusters	mgnify_clusters	mgnify_clusters.tar.zst	https://huggingface.co/datasets/cssbsnu/Thal-Kak_local_db/resolve/main/hhblits/mgnify_clusters.tar.zst	fc5385d6e42ef4a3589323d66c503264eb50cb1024d44d8384443c598450eb1f	36226746996	161340999943	-	-	no
hhblits	logan_human	logan_human	logan_human.tar.zst	https://huggingface.co/datasets/cssbsnu/Thal-Kak_local_db/resolve/main/hhblits/logan_human.tar.zst	a6db507c0b7204a2d8e1bc9b7cdd9d3c811450ae9625e9620ea3b3b878eefca6	874743685	2162545037	-	-	no
hhblits	logan_nonhuman	logan_nonhuman	logan_nonhuman.tar.zst	https://huggingface.co/datasets/cssbsnu/Thal-Kak_local_db/resolve/main/hhblits/logan_nonhuman.tar.zst	4948bb337a6c58811a7b41a73f27f725a45006c0db309f49e124d4252e1be0c3	26024459890	60018887919	-	-	no
hhblits	envhog	envhog	envhog.tar.zst	https://huggingface.co/datasets/cssbsnu/Thal-Kak_local_db/resolve/main/hhblits/envhog.tar.zst	2ab6318847d65b877b8e3e28418ebf8fbd64e0ab7b80d9beb89227b4bad8fa0d	5046268141	12363900158	-	-	no
rna	rfam	-	Rfam.fa.gz	https://ftp.ebi.ac.uk/pub/databases/Rfam/CURRENT/fasta_files/Rfam.fa.gz	-	442791710	2456435649	684641800	2456435649	yes
rna	rnacentral	-	rnacentral_active.fasta.gz	https://ftp.ebi.ac.uk/pub/databases/RNAcentral/current_release/sequences/rnacentral_active.fasta.gz	-	10919860429	-	-	33000000000	yes
